Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,TwoP,TwoPA,ThreeP,ThreePA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FGPercent,TwoPPercent,ThreePPercent,eFGPercent,FTPercent,TSPercent,WS,G,GS,MP,PER,ThreePAr,FTr,ORBPercent,DRBPercent,TRBPercent,ASTPercent,STLPercent,BLKPercent,TOVPercent,USGPercent,ORtg,DRtg,OWS,DWS,WS,WSperFortyEight,OBPM,DBPM,BPM,VORP
360,JaVale McGee,2014-15,27,TOT,NBA,23,0,11.1,1.8,3.4,1.8,3.4,0,0,1,1.4,0.8,1.9,2.7,0.1,0.1,0.9,0.8,1.3,4.6,0.532,0.532,,0.532,0.667,0.567,0.4,23,0,256,14.4,0,0.418,7.3,18.9,12.9,2,0.4,6.1,16.1,18.9,101,106,0.1,0.3,0.4,0.071,-5.3,-0.3,-5.6,-0.2
327,Phil Pressey,2014-15,23,BOS,NBA,50,0,12,1.3,3.5,1,2.2,0.3,1.3,0.7,1,0.3,1.3,1.6,2.3,0.6,0.1,0.8,1.1,3.5,0.368,0.44,0.246,0.414,0.673,0.453,0.8,50,0,600,11.8,0.374,0.282,2.3,12.4,7.3,28,2.5,0.8,17.3,17.3,97,104,0,0.7,0.8,0.06,-2.3,0,-2.2,0
131,Chris Bosh,2014-15,30,MIA,NBA,44,44,35.4,7.8,16.9,6.4,13.1,1.4,3.8,4.1,5.3,1,6,7,2.2,0.9,0.6,2.2,1.6,21.1,0.46,0.485,0.375,0.503,0.772,0.548,3.6,44,44,1556,19.8,0.226,0.311,3.6,20,12,12,1.4,1.4,10.1,28.4,106,106,2.1,1.5,3.6,0.111,1,-1,-0.1,0.8
335,Jordan Farmar,2014-15,28,LAC,NBA,36,0,14.7,1.7,4.4,0.7,1.7,1,2.7,0.3,0.3,0.2,0.9,1.2,1.9,0.6,0.1,0.9,1.4,4.6,0.386,0.426,0.361,0.497,0.909,0.513,0.6,36,0,529,9.9,0.614,0.07,1.7,7.1,4.5,18,1.9,0.8,16.4,16.6,101,108,0.2,0.4,0.6,0.053,-0.7,-1.3,-2,0
305,Nick Calathes,2014-15,25,MEM,NBA,58,0,14.4,1.8,4.3,1.6,3.5,0.2,0.7,0.4,0.8,0.3,1.5,1.8,2.5,1.1,0.1,1.1,1.7,4.2,0.421,0.456,0.256,0.443,0.533,0.455,1.1,58,0,838,12.3,0.174,0.182,2.6,11.8,7.2,26.6,3.9,0.5,18.6,17.9,93,99,-0.4,1.5,1.1,0.065,-2.1,1.8,-0.3,0.4
223,Channing Frye,2014-15,31,ORL,NBA,75,51,24.9,2.5,6.5,0.7,1.9,1.8,4.6,0.4,0.5,0.4,3.5,3.9,1.3,0.6,0.5,1,2.5,7.3,0.392,0.39,0.393,0.532,0.886,0.546,2.1,75,51,1870,9.5,0.71,0.072,1.6,16.4,8.9,7.4,1.3,1.7,13.4,14.1,101,108,0.7,1.4,2.1,0.053,-0.9,0,-0.9,0.5
5,DeAndre Jordan,2014-15,26,LAC,NBA,82,82,34.4,4.6,6.5,4.6,6.5,0,0,2.3,5.7,4.8,10.1,15,0.7,1,2.2,1.3,3,11.5,0.71,0.713,0.25,0.711,0.397,0.638,12.8,82,82,2820,21,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,126,98,7.4,5.4,12.8,0.217,0.9,3.2,4.1,4.3
367,Lou Amundson,2014-15,32,TOT,NBA,53,35,17.7,2.1,4.8,2.1,4.8,0,0,0.8,1.6,1.8,3.3,5.1,1.3,0.4,1,1.2,2.4,4.9,0.427,0.429,0,0.427,0.471,0.442,0.3,53,35,937,11.8,0.004,0.341,11.3,22,16.5,12.2,1.2,4.6,17.5,17.4,92,106,-0.6,0.9,0.3,0.017,-4,2,-2,0
11,LeBron James,2014-15,30,CLE,NBA,69,69,36.1,9,18.5,7.3,13.6,1.7,4.9,5.4,7.7,0.7,5.3,6,7.4,1.6,0.7,3.9,2,25.3,0.488,0.536,0.354,0.535,0.71,0.577,10.4,69,69,2493,25.9,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,112,105,7.4,2.9,10.4,0.199,6.2,1.2,7.4,5.9
289,Mitch McGary,2014-15,22,OKC,NBA,32,2,15.2,2.8,5.2,2.8,5.1,0,0.1,0.8,1.3,1.7,3.5,5.2,0.4,0.5,0.5,1,2.3,6.3,0.533,0.54,0,0.533,0.625,0.55,1.3,32,2,485,16.6,0.012,0.242,11.9,24.4,18.2,4.6,1.7,2.6,14.5,19,107,102,0.6,0.7,1.3,0.127,-2.3,-0.1,-2.4,-0.1
126,Bradley Beal,2014-15,21,WAS,NBA,63,59,33.4,5.8,13.5,4.1,9.4,1.7,4.1,2.1,2.6,0.9,2.9,3.8,3.1,1.2,0.3,2,2.2,15.3,0.427,0.434,0.409,0.489,0.783,0.521,3.7,63,59,2107,14,0.304,0.195,3.1,9.6,6.4,15,1.8,0.7,11.7,22.5,102,105,1.3,2.4,3.7,0.085,0.5,-0.1,0.5,1.3
433,Erick Green,2014-15,23,DEN,NBA,43,1,9.5,1.4,3.8,1.1,2.7,0.3,1.1,0.2,0.3,0.2,0.6,0.7,0.9,0.3,0,0.3,0.6,3.4,0.377,0.409,0.298,0.42,0.833,0.436,0,43,1,410,8.9,0.29,0.074,1.8,6.6,4.1,15.1,1.5,0,7.7,19.1,95,112,-0.1,0.1,0,0,-2.7,-2.7,-5.4,-0.3
263,Dorell Wright,2014-15,29,POR,NBA,48,2,12.3,1.5,4,0.6,1.7,0.9,2.3,0.7,0.9,0.3,2,2.3,0.9,0.4,0.2,0.4,1.1,4.6,0.379,0.378,0.38,0.487,0.81,0.525,1.6,48,2,592,13.4,0.568,0.221,2.6,17.2,10,10.2,1.7,1.3,7.9,17.1,109,102,0.7,0.8,1.6,0.128,0.1,0.6,0.7,0.4
462,Xavier Henry,2014-15,23,LAL,NBA,9,0,9.6,0.3,1.4,0.3,1.4,0,0,1.6,2.7,0.2,0.2,0.4,0.3,0.3,0,0.3,0.7,2.2,0.231,0.231,,0.231,0.583,0.424,-0.1,9,0,86,4.9,0,1.846,2.5,2.7,2.6,4.8,1.8,0,11.3,13.7,90,114,-0.1,0,-0.1,-0.03,-5.5,-2.4,-7.9,-0.1
478,Gal Mekel,2014-15,26,NOP,NBA,4,0,10.8,0.8,5,0.8,4.3,0,0.8,0,0,0,0.3,0.3,3.3,0.5,0,0.5,0.3,1.5,0.15,0.176,0,0.15,,0.15,-0.2,4,0,43,0.5,0.15,0,0,2.6,1.3,42.2,2.4,0,9.1,23.3,61,111,-0.2,0,-0.2,-0.238,-10.3,-6.3,-16.6,-0.2
13,Marc Gasol,2014-15,30,MEM,NBA,81,81,33.2,6.5,13.2,6.5,13,0,0.2,4.3,5.4,1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6,17.4,0.494,0.5,0.176,0.496,0.795,0.558,10.2,81,81,2687,21.7,0.016,0.41,4.9,21.8,13.4,19.7,1.4,4,12.2,24.6,111,100,5.5,4.7,10.2,0.182,1.3,3.5,4.8,4.6
179,Meyers Leonard,2014-15,22,POR,NBA,55,7,15.4,2.3,4.5,1.4,2.4,0.9,2,0.5,0.6,0.8,3.7,4.5,0.6,0.2,0.3,0.7,2.1,5.9,0.51,0.586,0.42,0.606,0.938,0.631,2.8,55,7,847,14.8,0.457,0.131,5.9,25.3,15.8,5.8,0.6,1.2,13.1,15.8,117,102,1.6,1.2,2.8,0.158,0.1,0,0.2,0.5
37,DeMarre Carroll,2014-15,28,ATL,NBA,70,69,31.3,4.5,9.3,2.8,5,1.7,4.3,1.8,2.6,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6,0.487,0.567,0.395,0.579,0.702,0.603,7,70,69,2189,15.9,0.466,0.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,117,104,4.3,2.8,7,0.154,2.4,0.5,2.9,2.7
326,E'Twaun Moore,2014-15,25,CHI,NBA,56,0,9,1.1,2.5,0.9,1.8,0.2,0.7,0.2,0.4,0.2,0.6,0.8,0.6,0.4,0.1,0.3,0.8,2.7,0.446,0.485,0.342,0.493,0.6,0.504,0.8,56,0,504,10.3,0.273,0.144,2.7,7.1,5,10.4,2.1,0.9,8.7,14.4,105,106,0.3,0.5,0.8,0.08,-1.8,-0.6,-2.5,-0.1
