Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,TwoP,TwoPA,ThreeP,ThreePA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FGPercent,TwoPPercent,ThreePPercent,eFGPercent,FTPercent,TSPercent,WS,G,GS,MP,PER,ThreePAr,FTr,ORBPercent,DRBPercent,TRBPercent,ASTPercent,STLPercent,BLKPercent,TOVPercent,USGPercent,ORtg,DRtg,OWS,DWS,WS,WSperFortyEight,OBPM,DBPM,BPM,VORP
25,Derrick Favors,2014-15,23,UTA,NBA,74,74,30.8,6.5,12.4,6.5,12.3,0,0.1,3,4.5,2.6,5.6,8.2,1.5,0.8,1.7,1.6,2.8,16,0.525,0.527,0.167,0.526,0.669,0.558,8.3,74,74,2280,21.8,0.007,0.362,10,20.7,15.4,9.4,1.4,4.3,10.2,23.8,113,102,5,3.3,8.3,0.175,0.8,1.7,2.4,2.6
26,Paul Millsap,2014-15,29,ATL,NBA,73,73,32.7,6.1,12.7,5,9.8,1.1,3,3.5,4.6,1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8,16.7,0.476,0.513,0.356,0.518,0.757,0.565,8.3,73,73,2390,20,0.232,0.362,6.9,20,13.6,15.4,2.8,2.4,13.3,23.8,109,99,4,4.3,8.3,0.166,1.6,2.6,4.2,3.7
27,Jonas Valanciunas,2014-15,22,TOR,NBA,80,80,26.2,4.7,8.2,4.7,8.1,0,0,2.7,3.5,2.7,6,8.7,0.5,0.4,1.2,1.4,2.8,12,0.572,0.573,0,0.572,0.786,0.623,8.2,80,80,2096,20.6,0.002,0.423,11.8,26.3,19.1,3.1,0.8,3.6,12.4,19.1,121,105,5.8,2.4,8.2,0.189,0.1,-0.6,-0.5,0.8
28,Danny Green,2014-15,27,SAS,NBA,81,80,28.5,4,9.1,1.6,3.5,2.4,5.6,1.4,1.6,0.7,3.6,4.2,2,1.2,1.1,1.1,2,11.7,0.436,0.466,0.418,0.566,0.874,0.596,7.8,81,80,2312,16.5,0.619,0.172,2.7,13.9,8.4,10.3,2.2,2.8,10.5,17.5,114,100,4,3.9,7.8,0.163,2.8,2.2,5,4.1
29,John Wall,2014-15,24,WAS,NBA,79,79,35.9,6.6,14.8,5.7,12,0.8,2.7,3.6,4.6,0.5,4.2,4.6,10,1.7,0.6,3.8,2.3,17.6,0.445,0.478,0.3,0.473,0.785,0.523,7.8,79,79,2837,19.9,0.186,0.31,1.5,12.8,7.3,46.3,2.5,1.3,18.7,26.1,105,102,3.6,4.2,7.8,0.132,2.4,1.1,3.5,3.9
30,Andre Drummond,2014-15,21,DET,NBA,82,82,30.5,6,11.7,6,11.7,0,0,1.7,4.5,5.3,8.1,13.5,0.7,0.9,1.9,1.5,3.5,13.8,0.514,0.515,0,0.514,0.389,0.504,7.7,82,82,2502,21.4,0.002,0.38,18.3,30.1,24,3.9,1.5,4.8,9.7,22,107,100,3.4,4.3,7.7,0.147,-1.2,1.1,-0.2,1.2
31,Jeff Teague,2014-15,26,ATL,NBA,73,72,30.5,5.6,12.2,4.6,9.3,1,2.8,3.8,4.4,0.4,2.1,2.5,7,1.7,0.4,2.8,1.9,15.9,0.46,0.496,0.343,0.5,0.862,0.566,7.7,73,72,2228,20.6,0.233,0.36,1.6,7.7,4.7,37.9,2.9,1.2,16.6,25.3,111,104,5,2.8,7.7,0.166,2.5,-0.7,1.8,2.1
32,Kyle Korver,2014-15,33,ATL,NBA,75,75,32.2,3.9,8,0.9,2,2.9,6,1.4,1.6,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1,0.487,0.47,0.492,0.671,0.898,0.699,7.5,75,75,2418,14.8,0.748,0.197,0.7,13.3,7.2,12.1,1.1,1.5,14.1,14.4,122,106,5,2.4,7.5,0.148,3.1,0.2,3.3,3.3
33,Dirk Nowitzki,2014-15,36,DAL,NBA,77,77,29.6,6.3,13.8,5,10.2,1.4,3.6,3.3,3.8,0.6,5.4,5.9,1.9,0.5,0.4,1.1,2.1,17.3,0.459,0.486,0.38,0.508,0.882,0.56,7.2,77,77,2282,19.2,0.258,0.272,2.1,19.9,11,10.4,0.9,1.2,6.5,24.9,113,107,5.2,2,7.2,0.152,1.7,-1,0.7,1.5
34,Zach Randolph,2014-15,33,MEM,NBA,71,71,32.5,6.4,13.1,6.3,12.8,0.1,0.3,3.2,4.2,3.2,7.4,10.5,2.2,1,0.2,2.2,2.5,16.1,0.487,0.49,0.35,0.491,0.765,0.538,7.2,71,71,2304,19.5,0.021,0.32,11.2,25.8,18.5,11.4,1.6,0.5,12.8,24.3,107,101,3.4,3.8,7.2,0.149,0.4,1.1,1.5,2
